Actual Summary,Model Summary
"Netanyahu says third option is ""standing firm"" to get a better deal. Political sparring continues in U.S. over the deal with Iran.
","Israeli Prime Minister Benjamin Netanyahu says he sees better options than ""this bad deal or war"" Sen. Dianne Feinstein, D-California, says Netanyahu needs to ""contain himself"" Republican Sen. Lindsey Graham says almost any of Obama's successors ""could do better"" Energy Secretary Ernest Moniz defends the deal, saying it prevents Iran from getting a nuclear bomb. "
"Indiana town's Memories Pizza is shut down after online threat. Its owners say they'd refuse to cater a same-sex couple's wedding.
","Memories Pizza in Walkerton, Indiana, refused to cater a same-sex couple's wedding. Critics called for boycotts; supporters rallied, raising more than $842,000. "
"Authorities in the Indian city of Malegaon have asked residents to take a'mugshot' of their cattle. Cows are revered by the majority Hindu population, and many parts of the country have laws banning the slaughter of cattle. Officials in Malegaon believe this is the best way to solve cow slaughter cases and enforce the law.
",Police in the Indian city of Malegaon have asked residents to take a'mugshot' of their cattle and submit it to the police. The move follows a recent state-wide ban on the sale and consumption of beef. 
"A South Carolina man says he spent 66 days alone at sea before being rescued. Other sole survivor stories include a Japanese man washed away by a tsunami. An El Salvador man says he drifted from Mexico to Marshall Islands over a year.
","It's hard to imagine a single person being stranded at sea for more than a few days. But such stories do happen, and they are often recounted by lone survivors. Louis Jordan, Jose Salvador Alvarenga and Ron Ingraham are among those who have survived. "
"The Large Hadron Collider (LHC) begins again after a two-year shutdown. The restart was delayed in March.
","The Large Hadron Collider (LHC), a particle accelerator and the largest machine in the world, is ready for action following a two-year shutdown. The purpose of the lengthy project is to recreate the conditions that existed moments after the ""Big Bang"" The LHC generates up to 600 million particles per second, with a beam circulating for 10 hours. "
"FBI agents and a suspected serial robber exchange gunfire in an FBI stakeout. Two FBI agents are injured and the suspect is shot during the gunfight.
","Kevone Charleston, 36, is suspected of 32 commercial robberies dating to November 2013. He was shot and wounded by FBI agents and task force officers. Two agents were injured in a crash and the suspect was shot before being captured. "
"The total eclipse will only last 4 minutes and 43 seconds. People west of the Mississippi River will have the best view. Parts of South America, India, China and Russia also will see the eclipse.
","A total lunar eclipse will begin at 3:16 a.m. Pacific Daylight Time. It will only last four minutes and 43 seconds, making it the shortest one of the century. People west of the Mississippi River will have the best view. "
"Terrorist group Al-Shabaab has attacked a Kenyan college, killing and taking hostages. It is a clear indicator the security situation in East Africa is deteriorating, says Stefan Wolff. More than military action aloe is needed to combat terrorism in the region, he says.
","Somalia-based Al-Shabaab has claimed an attack on Garissa University College in eastern Kenya, in which many people have been killed and still more taken hostage. The attack is another step in the ongoing escalation of the terrorist group's activities. "
"Easter is a key event in the Christian faith, but where did the Easter Bunny come from? Why is the date different every year, and what does it have to do with the moon?
","Unlike Christmas, Easter doesn't fall on the same day every year. It shifts around in spring depending upon cosmic events. "
"In response to lawsuit, NCAA says it doesn't control quality of education for student-athletes. But its website emphasizes importance of education, ""opportunities to learn"" Lawsuit claims students didn't get an education because of academic fraud at UNC.
",The NCAA says it has no legal obligation to ensure the education of student-athletes. The NCAA is responding to a lawsuit filed by former University of North Carolina athletes. 
"Judge won't allow teen leave hospital before her last chemotherapy treatment. Attorneys for the teen are deciding whether to appeal. Cassandra C. is now in remission and is no longer opposed to the chemotherapy treatments.
","Cassandra C., 17, has been forced to have chemotherapy to treat Hodgkin lymphoma. She is in temporary custody of the state of Connecticut. A juvenile court judge denied a request to let her go home. "
"The song rules the chart for 13th week. It passes Robin Thicke's ""Blurred Lines"" Song three weeks from potentially tying ""One Sweet Day"" for record.
","Mark Ronson's ""Uptown Funk!"" is the longest-leading Billboard Hot 100 of the 2010s. It's also just the 10th single in the Hot 100's entire history to spend at least 13 weeks at No. 1. "
"High temperatures are recorded on the northern tip of the Antarctica Peninsula. The World Meteorological Organization will make the final determination.
",The temperature was recorded at Argentina's Esperanza Base on the northern tip of the Antarctica Peninsula. 
"A Native American from a tribe not recognized by the feds wins the return of his eagle feathers. An IRS accountant is fired for insisting on carrying a symbolic Sikh knife to work. A group of Chicago pastors takes on City Hall over its permits for new churches and loses.
","20 states have some version of the Religious Freedom Restoration Act. RFRA prohibits the federal government from ""substantially burdening"" a person's exercise of religion. "
"Robert Lewis Burns Jr. was part of Lynyrd Skynyrd's original lineup. His car hit a mailbox and a tree just before midnight.
","Robert Lewis Burns Jr. was the original drummer in Lynyrd Skynyrd. He died after his car hit a mailbox and a tree in Cartersville, Georgia. "
"Kim Ki-Jong is charged with attempted murder and assaulting a foreign envoy. He's accused of stabbing U.S. Ambassador Mark Lippert in the face and arm. Police said Kim opposed the joint U.S.-South Korean military drills.
",Kim Ki-Jong is charged with attempted murder and assaulting a foreign envoy. He is accused of stabbing U.S. Ambassador Mark Lippert in Seoul last month. 
"Hong Kong banker alleged murder case adjourned until May. The 29-year-old Rurik Jutting is accused of killing two Indonesian domestic workers.
","Rurik Jutting, 29, has been charged with two counts of murder in Hong Kong. He was arrested after police found the bodies of two Indonesian women at an apartment. The bodies of Sumarti Ningsih and Seneng Mujiasih were found in November. "
"Thai Airways subsidiary Thai Smile features Cartoon Network paint job on A320 jet. Overhead bins, head rests and air sick bags feature characters from Cartoon Network.
",Thai Smile has unveiled a new livery for its Airbus A320. The airline is a subsidiary of Thailand flag carrier Thai Airways. The interior of the plane also has an Adventure Time theme. The inaugural flight takes place on April 4. 
"Manning is serving a 35-year sentence for leaking thousands of classified documents. She says she will be using a voice phone to dictate her tweets.
","Chelsea Manning is serving a 35-year prison sentence for leaking classified documents. In a series of tweets, she says she will be using a voice phone to dictate her tweets. "
"Frida Ghitis: President Barack Obama is right to want a deal, but this one gives Iran too much. She says the framework agreement starts lifting Iran sanctions much too soon.
",President Obama has tied himself to a nuclear deal with Iran even before he became the Democratic candidate for president. 
"The final film featuring the late Paul Walker, ""Furious 7"" is opening around the globe this weekend. It's worldwide debut may approach or cross $300 million by the end of Easter Sunday.
","""Furious 7"" is getting the widest release in Universal's history. The film is expected to earn $135 million-$138 million this weekend. It will be the biggest opening in North America since fall 2013. "
"Deion Sanders calls out son for ""hood doughnuts"" comments. ""You're a Huxtable with a million $ trust fund. Stop the hood stuff!""
","Deion Sanders Jr. tweeted that he only eats ""hood doughnuts"" His father reminded him he has a trust fund, a condo and his own clothing line. "
"An outside review found that a Rolling Stone article about campus rape was ""deeply flawed"" Danny Cevallos says that there are obstacles to a successful libel case, should one be filed.
","David Frum: Rolling Stone article about alleged gang rape at UVA may have been defamatory. He says there are rules about who can sue for defamation, and they apply to UVA as well as other fraternities. "
"Shibuya ward in Tokyo passes an ordinance that gives same-sex couples some of the rights of married heterosexual couples. Activists welcome the decision; hope that it will lead to greater equality for LGBT people in Japan. Recent poll finds most young Japanese open to the idea of gay marriage.
","Shibuya ward, one of Tokyo's most famous districts, passes ordinance recognizing same-sex unions. The certificates will not be issued until later in the summer and are not legally binding. Proponents of marriage equality in socially conservative Japan say it is a step in the right direction. "
"A test in Kansas finds listeria in a Blue Bell ice cream cup. The company announces it is temporarily shutting a plant to check for the source. Three people in Kansas have died from a listeria outbreak.
","CDC warns consumers not to eat any Blue Bell-branded products made at the Broken Arrow, Oklahoma, plant. Listeria monocytogenes was found in a cup of ice cream from the plant in April 2014. It is the third time Blue Bell has taken action in light of a listeria outbreak at a Kansas hospital. "
"Japan's top military official earnestly revealed that the country's Self Defense Force (SDF) had never encountered a UFO. Celebrity politician and former wrestler Antonio Inoki had posed a question concerning extraterrestrials to a government committee.
","Japan's Defense Minister Gen Nakatani tells the Diet that his jets have never encountered UFOs from outer space. He was responding to a question from flamboyant former wrestler-turned-politician Antonio Inoki. Inoki, a maverick politician, is known in Japan for his red scarf and wrestling prowess. "
"Bombing of targets in central Sanaa smashes residents' windows and doors. Hundreds killed in less than two weeks; humanitarian situation desperate, agencies say.
","More than 600 people have been killed in Yemen since the conflict began, officials say. The Red Cross is pleading with Saudi Arabia to allow aid into the country. "
"David Lynch says he won't be directing new episodes of Twin Peaks. Showtime ""saddened"" over decision, which involved a dispute over money.
","David Lynch has confirmed he will no longer direct the revival of ""Twin Peaks"" The cult 1990s television show was set to return in 2016. Lynch said he felt the network was not offering enough money. "
"Kentucky player mutters N-word under his breath about a Wisconsin player at postgame news conference. Andrew Harrison, who is black, tweets that he apologized to Frank Kaminsky, who is white. Kaminsky says he's talked it over with Harrison -- 'I'm over it""
","A hot mic picked up Kentucky guard Andrew Harrison saying of Wisconsin's Frank Kaminsky, ""F**k that (N-word)."" Harrison, who is is black, said his words were ""in jest,"" and that he meant no disrespect to Kaminsky. "
"A man killed in a raid in the Philippines in January was a ""most wanted"" terrorist, the FBI says. Marwan was a Malaysian believed to have provided support to Islamist terror groups. 44 elite Philippine commandos were killed in the raid on his hideout last month.
","Malaysian bomb maker Zulkifli bin Hir was one of the FBI's most wanted terrorists. He was believed to be a member of Jemaah Islamiyah's central command. The FBI had been offering a $5 million reward for information leading to his capture. But in January it launched a surprise raid in pursuit of Marwan. The mission went disastrously awry, with 44 members of the police's elite Special Action Force killed. "
"Delaware family becomes ill at the Sirenusa resort in the U.S. Virgin Islands. Preliminary EPA results find methyl bromide was present in unit where family stayed. U.S. Justice Department has initiated a criminal investigation into the matter.
","EPA says there was a presence of methyl bromide in the unit where the family was staying. Exposure to the pesticide can cause serious health effects, the EPA says. "
"Chris Rock posts selfies after being pulled over three times in last seven weeks. ""Stopped by the cops again wish me luck,"" he posted this week.
","Comedian Chris Rock tweets photos of three traffic stops in seven weeks. Blacks are about 30% more likely to be pulled over by police than whites, the Bureau of Justice Statistics says. "
"A blast rocks a chemical plant in China's southeastern Fujian province for the second time in two years. Six were injured after the explosion and are being hospitalized. The explosion was triggered by an oil leak, though local media has not reported any toxic chemical spills.
","Six people injured in explosion at chemical plant in China's Fujian province. Blast occurred at an oil storage facility after an oil leak. Plant produces paraxylene, a carcinogenic chemical used in the production of polyester films and fabrics. "
"Justice Department prosecuting FedEx over unauthorized shipment of drugs. Danny Cevallos: FedEx has a strong argument that it shouldn't be held responsible.
",U.S. Department of Justice names FedEx as new defendant in war on drugs. David Frum: Corporations can be prosecuted just like people. 
"Mark Wahlberg is planning to appear in ""Patriots' Day"" The film will be about events surrounding the 2013 Boston Marathon bombing. Another film, ""Boston Strong,"" is also in the works.
","Mark Wahlberg will star in a film about the Boston Marathon bombing. The film, to be titled ""Patriots' Day,"" is being produced by CBS Films. "
"""The Price Is Right"" gives away a car... accidentally. A model makes a big mistake during a game. Host Drew Carey thought the error was hilarious.
",Manuela Arbelaez accidentally revealed the correct answer to a guessing game for a new Hyundai Sonata. Drew Carey couldn't stop laughing. 
"Carlos Colina, 32, is arraigned on charges of assault and battery, improper disposal of a body. Body parts were discovered Saturday in a duffel bag and a common area of an apartment building. The victim in the case is identified as Jonathan Camilien, 26; authorities say he knew Colina.
","Carlos Colina, 32, was arraigned on charges of assault and battery. Police found human remains in a duffel bag in Cambridge, Massachusetts, over the weekend. Surveillance video led them to an apartment building, where more body parts were found. The remains at both locations belonged to the same victim, identified Monday as Jonathan Camilien, 26. "
"Fan favorite series ""Arrested Development"" to return for a fifth season, according to producer. Brian Grazer claimed the show would be back in a podcast. Netflix is not commenting.
","""Arrested Development"" executive producer Brian Grazer says the show will return for a fifth season. The fourth season was streamed exclusively on Netflix in 2013. "
"""Mad Men's"" final seven episodes begin airing April 5. The show has never had high ratings but is considered one of the great TV series. It's unknown what will happen to characters, but we can always guess.
","""Mad Men's"" eighth and final season begins Sunday. The show is about a 1960s advertising agency and its collision with changing times. "
"""Vampire Diaries"" star Nina Dobrev announces she's leaving the show. ""Nothing will be the same again,"" fans say.
","""Vampire Diaries"" star Nina Dobrev announced she will leave the show at the end of this season. Some fans are upset that the show will go on to a seventh season after Dobrev's departure. "
"Federal education minister Smriti Irani visited a FabIndia store in Goa, saw cameras. Authorities discovered the cameras could capture photos from the store's changing room. The four store workers arrested could spend 3 years each in prison if convicted.
","Education minister Smriti Irani was visiting a FabIndia outlet in the tourist resort state of Goa. She discovered a surveillance camera pointed at the changing room, police said. Four employees of the store have been arrested, but its manager is still at large. "
"The group included four children, Turkish official says. Turkish military didn't say what group's intent was. UK Foreign Office says it is trying to get information from Turkish officials.
","Nine British citizens were arrested at the Turkey-Syria border, the Turkish military says. The group included four children, the oldest of whom was 10 or 11, a Turkish official says. "
"Submarine is in Zvyozdochka shipyard, in northwestern Russia. No ""dangerous"" substances on the submarine, shipyard spokesman told ITAR-Tass.
","A nuclear submarine is being repaired at a Russian shipyard, according to a law enforcement source. Tass reports that insulation caught on fire as welding work was being done on the submarine. "
"Kayahan wrote some of Turkey's best-loved pop songs. The singer was first diagnosed with cancer in 1990. He most recently performed in February in Istanbul.
","Kayahan was first diagnosed with cancer in 1990, the year he competed in the Eurovision Song Contest. His album ""I Made a Vow"" ignited his career. "
"Prosecutors formally charged former top official Zhou Yongkang. Zhou charged with accepting bribes, abuse of power and leaking state secrets. Former domestic security official is the most senior Chinese official to face corruption charges.
",Zhou Yongkang is the highest-ranking Chinese Communist Party official ever to face corruption charges. He is charged with abuse of power and leaking state secrets. 
"Some of Jesus' most important financial backers were women, historians say. Joseph of Arimathea and Nicodemus, both men of stature and wealth, chipped in to help fund Jesus' ministry.
","John Sutter: Money was a concern for Jesus as he preached on the perils of wealth. He says Jesus and his followers had few means of support, so how did they survive? He says they probably relied on begging and hospitality to feed themselves and others. "
"Three people killed; five wounded in attack on attorney general's office in Balkh province. Staff and civilians have been rescued as gunmen engaged Afghan security forces.
","Gunmen storm attorney general's office in Balkh province, northern Afghanistan. Two police officers and a security guard are among the dead. "
"Georgia Powers: Rand Paul, running for president, would like minorities to think he's an advocate. His record on rights shows otherwise. On civil rights, women's choice, voting rights, immigrant DREAMers, education, he has shown he'd take country backwards, she says.
",Sen. Rand Paul (R-Kentucky) announced he's running for president. Donna Brazile says Paul's views on civil rights and women's issues are outdated. 
"Network regains control of Facebook page and one of its 11 channels. ISIS logos displayed but no claim of responsibility made by any group. Network reaches 260 million homes worldwide.
","French-language TV network TV5Monde says it was hacked by an Islamist group. The network lost control of its social media outlets and its websites, its director says. "
"Couple spends $1,200 to ship their cat, Felix, on a flight from the United Arab Emirates. Felix went missing somewhere at John F. Kennedy International Airport, airline says. Pets are ""treated no differently than a free piece of checked luggage,"" Jennifer Stewart says.
","Jennifer Stewart's 2-year-old cat, Felix, went missing after a flight from Abu Dhabi to New York. She believes the cat's plastic carrier was damaged during the flight or the transfer from the airplane to the airport. Etihad Airways is investigating the incident and is working with ground handlers at the airport to help locate the cat. "
"The trials of Dzhokhar Tsarnaev and Aaron Hernandez are coming to a close. Voting has put Rahm Emanuel and Ferguson, Missouri, back in the headlines. Rand Paul has announced his bid for the presidency.
","In Louisville, Kentucky, Sen. Rand Paul announced he will run for president. In Chicago, voters will head to the polls in a runoff between Mayor Rahm Emanuel and challenger Jesus ""Chuy"" Garcia. In Ferguson, Missouri, the shadow of Michael Brown will loom large over the city's elections. "
"Fire breaks out at the General Electric Appliance Park in Louisville, Kentucky. City official: No is believed to be injured or trapped.
","The fire broke out at the General Electric Appliance Park in Louisville, Kentucky. No one was injured or trapped, an official says. "
"Ted Cruz has built a brand as a stalwart conservative on fiscal issues. But he's also eager to champion social issues at a time when many Republicans are eager to avoid them. Cruz says the GOP needs to unite young libertarian-minded voters and evangelicals.
",Ted Cruz visited Iowa last week for the first time as a presidential candidate. The state is known for its vocal and active evangelical base. Cruz is courting evangelicals as part of a three-pronged strategy to win the nomination. 
"Kenyans use hashtag #147notjustanumber to honor victims of Kenya university attack. The attack killed 142 students, three security officers and two university security personnel.
","Kenyans use social media to share pictures of the victims' stories, hopes and dreams. The hashtag #147notjustanumber is a reference to the number of people killed at Garissa University College. "
"The penalty is more than 10 times the previous record, according to a newspaper report. Utility commission to force Pacific Gas & Electric Co. to make infrastructure improvements. Company apologizes for explosion that killed 8, says it is using lessons learned to improve safety.
",Pacific Gas & Electric Co. ordered to pay a record $1.6 billion penalty for unsafe operation of its gas transmission system. Pipeline rupture that killed eight people in San Bruno in September 2010. Most of the penalty amounts to forced spending on improving pipeline safety. 
"Dzhokhar Tsarnaev is found guilty on all 30 charges he faced. Seventeen counts were capital charges, meaning he is eligible for the death penalty.
","Seventeen of the 30 counts were capital charges, meaning he is eligible for the death penalty. The trial will next move into a penalty phase, where the jury will hear testimony and arguments. "
"The fire on a platform in the Gulf of Mexico has been extinguished, Pemex says. 45 workers were injured in the blaze, according to the state oil company. Four workers were killed in the oil rig fire, which started early Wednesday.
","About 300 people were evacuated from the Abkatun Permanente platform. 45 workers were injured, two of them in serious condition. The fire began in the dehydration and pumping area, Pemex said. "
"Jay Parini: When religious identity, ethics, tolerance are roiling the culture, it's worth looking at message of Holy Week and Easter. He says ritual enactment of these three days is reminder that again and again the human condition moves through darkness into light.
","Frida Ghitis: Easter is about how religious impulses, and patterns, affect our lives. She says Good Friday, Holy Saturday, Easter Sunday are three days of intense prayer. "
"Police in Lucknow, northern India, have bought four drones to help control crowds. The unmanned aerial vehicles are being fitted with cameras and pepper spray to subdue angry protesters. Some Indians have questioned why police are resorting to ""authoritarian and forceful methods""
",Lucknow police have bought four drones and are in the process of purchasing one more. The miniature aircraft will be fitted with a camera and pepper spray. Protests are a common occurrence in India. 
"Secret Service says supervisor's security clearance has been suspended. He is accused of trying to kiss a colleague.
","Xavier Morales, a supervisor within the Secret Service, is accused of assault. A female employee says he made sexual advances at her at a party. He has been placed on administrative leave and his security clearance has been suspended. "
"""All the police investigators have left the (Germanwings) crash site,"" a police official says. Private security company is ensuring no one goes on the site, official says. Authorities say co-pilot Andreas Lubitz deliberately crashed the plane, killing all 150 on board.
","Investigators are not expected to return to the crash site, a French national police official says. Of more than 2,000 DNA samples collected, 150 have been isolated. "
"April 8 was huge for ""Lost"" and ""Empire Records"" fans. April 14, April 25, October 21 are other big dates in movies.
","April 8 was also ""Rex Manning Day"" in the 1995 film ""Empire Records"" "
"Twisted Sister's 2016 tour will be its last. Band will celebrate 40 years in 2016. Twisted Sister drummer A.J. Pero died in March.
",Twisted Sister says its 2016 tour will be its last. Next year marks the band's 40th anniversary. The band will play two shows in honor of late drummer A.J. Pero. 
"The film will premiere on Memorial Day. It opened last year's Cannes Film Festival. A planned March theater release was scrubbed.
","""Grace of Monaco"" will premiere on Lifetime on Memorial Day, May 25. The Weinstein Co. decided to sell it directly to Lifetime rather than book it into U.S. theaters. The critically-panned film opened last year's Cannes Film Festival. "
"At least one person died as a result of storms in Illinois, an official says. Fire department: Rescuers searching for trapped victims in Kirkland, Illinois.
","One person is killed in Fairdale, Illinois, as a tornado tears through the rural town. A second twister hits Iowa, destroying farm buildings and knocking out a restaurant. "
"More questions than answers emerge in controversial S.C. police shooting. Officer Michael Slager, charged with murder, was fired from the North Charleston Police Department.
",Officer Michael Slager is charged with murder in the shooting death of Walter Scott. A witness says he didn't see Scott grab Slager's Taser. Slager told police dispatchers that Scott tried to take his Taser from him. 
"The rapper assaulted the photographer at Los Angeles International Airport in 2013. West apologized as part of the settlement, the photographer's lawyer says.
","Kanye West has settled a lawsuit with a paparazzi photographer he assaulted. The photographer, Daniel Ramos, had filed the civil suit against West. West pleaded no contest last year to a misdemeanor count of battery over the scuffle. "
"Manuscript of ""American Pie"" lyrics is sold to unnamed buyer for $1.2 million. Douglas Brinkley: The song, a talisman for its age, brings joy to people 44 years later.
","Don McLean's ""American Pie"" has sold for $1.2 million to an unnamed buyer. Bob Greene: The song is an Americana poem, a folk ballad, a rock anthem. He says McLean wrote the song after the deaths of Buddy Holly, Ritchie Valens, others. "
"Letourneau Fualaau had a sexual relationship with her student. He was 13 when they began the relationship in 1996. In May, they will celebrate their 10th wedding anniversary.
",Mary Kay Letourneau Fualaau began an affair with her 13-year-old student in 1996. She went on to serve more than seven years in prison on charges related to their sexual relationship. The couple will celebrate their 10th wedding anniversary on May 20. 
